,repository,lines_of_code,cyclomatic_complexity,tlag,deps_depth
279,https://github.com/webpack-contrib/istanbul-instrumenter-loader,137,58,657,11.0
280,https://github.com/yeoman/yeoman-test,1438,630,646,9.0
281,https://github.com/chriso/validator.js,14078,4386,383,10.0
282,https://github.com/janl/mustache.js,1773,810,912,12.0
283,https://github.com/Leonidas-from-XIV/node-xml2js,639,255,1096,8.0
284,https://github.com/robrich/gulp-if,455,327,1030,8.0
285,https://github.com/quaertym/ember-cli-dependency-checker,1134,607,862,11.0
286,https://github.com/indexzero/node-portfinder,982,434,910,4.0
287,https://github.com/jhnns/rewire,1778,933,535,6.0
288,https://github.com/jackfranklin/gulp-load-plugins,509,208,1253,7.0
289,https://github.com/Automattic/mongoose,106297,52027,250,9.0
290,https://github.com/litixsoft/karma-mocha-reporter,1487,712,972,11.0
291,https://github.com/senchalabs/connect,1035,515,550,8.0
292,https://github.com/webpack-contrib/raw-loader,159,60,561,10.0
293,https://github.com/mikaelbr/gulp-notify,1315,685,763,11.0
294,https://github.com/flatiron/prompt,2546,1212,1132,6.0
295,https://github.com/TypeStrong/TypeDoc,228,111,346,10.0
296,https://github.com/isaacs/minimatch,1664,876,931,10.0
297,https://github.com/dominictarr/through,415,287,2015,3.0
298,https://github.com/sindresorhus/gulp-autoprefixer,139,70,1315,10.0
299,https://github.com/yeoman/update-notifier,382,213,756,10.0
300,https://github.com/sindresorhus/grunt-eslint,109,51,1071,11.0
301,https://github.com/ember-cli/ember-cli-htmlbars,879,438,674,11.0
302,https://github.com/dominictarr/event-stream,1561,919,908,6.0
303,https://github.com/github/fetch,2266,912,638,10.0
304,https://github.com/webpack/loader-utils,1597,465,752,12.0
305,https://github.com/jsdoc2md/jsdoc-to-markdown,787,249,892,6.0
306,https://github.com/bestiejs/benchmark.js,5933,2356,899,11.0
307,https://github.com/ember-cli/ember-export-application-global,436,219,1331,11.0
308,https://github.com/gruntjs/grunt-contrib-coffee,925,410,1146,11.0
309,https://github.com/broofa/node-uuid,302,224,1243,8.0
310,https://github.com/kulshekhar/ts-jest,684,2004,271,10.0
311,https://github.com/jshttp/http-errors,575,359,239,8.0
312,https://github.com/karma-runner/karma-jasmine,1247,602,323,9.0
313,https://github.com/substack/node-optimist,1395,632,2164,5.0
314,https://github.com/chalk/chalk,977,606,441,9.0
315,https://github.com/webpack-contrib/css-loader,2657,1180,425,10.0
316,https://github.com/juliangruber/tape-run,201,126,497,13.0
317,https://github.com/vuejs/vue-style-loader,591,294,863,12.0
318,https://github.com/karma-runner/karma-cli,53,17,594,9.0
319,https://github.com/npm/node-semver,3233,1322,615,9.0
320,https://github.com/bendrucker/sinon-as-promised,212,122,1472,6.0
321,https://github.com/jquery/jquery,80136,37388,325,9.0
322,https://github.com/taptapship/wiredep,13112,6540,1558,8.0
323,https://github.com/shootaroo/jit-grunt,476,245,1768,11.0
324,https://github.com/slushjs/gulp-conflict,506,240,1763,5.0
325,https://github.com/shelljs/shelljs,10240,6716,404,9.0
326,https://github.com/shouldjs/should.js,9634,3573,572,12.0
327,https://github.com/xjamundx/eslint-plugin-promise,2218,767,448,12.0
328,https://github.com/pillarjs/finalhandler,986,419,457,8.0
329,https://github.com/facebook/draft-js,32900,10221,281,11.0
330,https://github.com/kelektiv/node-uuid,890,581,503,8.0
331,https://github.com/caolan/forms,4635,2322,1304,7.0
332,https://github.com/node-js-libs/cli,1259,498,674,4.0
